               0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16
       0    none    none    none    none    none    none    none    none    none    none    none    none    none    none    none    none    none
       1    none  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall    none
       2    none  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall    none
       3    none  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  metall  metall    none
       4    none  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  metall  metall    none
       5    none  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  metall  metall    none
       6    none  heater  heater  heater  heater  heater  heater  heater  heater  heater  heater  liquid  liquid  liquid  metall  metall    none
       7    none  heater  heater  heater  heater  heater  heater  heater  heater  heater  heater  liquid  liquid  liquid  metall  metall    none
       8    none  heater  heater  heater  heater  heater  heater  heater  heater  heater  heater  liquid  liquid  liquid  metall  metall    none
       9    none  heater  heater  heater  heater  heater  heater  heater  heater  heater  heater  liquid  liquid  liquid  metall  metall    none
      10    none  heater  heater  heater  heater  heater  heater  heater  heater  heater  heater  liquid  liquid  liquid  metall  metall    none
      11    none  heater  heater  heater  heater  heater  heater  heater  heater  heater  heater  liquid  liquid  liquid  metall  metall    none
      12    none  heater  heater  heater  heater  heater  heater  heater  heater  heater  heater  liquid  liquid  liquid  metall  metall    none
      13    none  heater  heater  heater  heater  heater  heater  heater  heater  heater  heater  liquid  liquid  liquid  metall  metall    none
      14    none  heater  heater  heater  heater  heater  heater  heater  heater  heater  heater  liquid  liquid  liquid  metall  metall    none
      15    none  heater  heater  heater  heater  heater  heater  heater  heater  heater  heater  liquid  liquid  liquid  metall  metall    none
      16    none  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  metall  metall    none
      17    none  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  metall  metall    none
      18    none  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  liquid  metall  metall  metall    none
      19    none  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall    none
      20    none  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall  metall    none
      21    none    none    none    none    none    none    none    none    none    none    none    none    none    none    none    none    none
